Energy (MeV)	mu/rho (cm^2/g)	mu_en/rho (cm^2/g)
0.001	3712.0	3701.0
0.00103542	3386.0	3376.0
0.0010721	3087.0	3079.0
0.0015	1251.0	1247.0
0.002	559.6	557.7
0.0021455	458.3	456.6
0.00230297	380.0	378.2
0.002472	310.2	308.6
0.0026414	261.2	259.4
0.0028224	215.8	214.2
0.003	183.6	181.9
0.0036074	107.3	106.1
0.004	81.61	80.3
0.005	42.24	41.35
0.006	24.56	23.89
0.008	10.42	9.935
0.01	5.379	4.987
0.015	1.699	1.402
0.02	0.823	0.5663
0.03	0.379	0.1616
0.04	0.2688	0.07216
0.05	0.2264	0.0436
0.06	0.2048	0.03264
0.08	0.1823	0.02617
0.1	0.1693	0.02545
0.15	0.1492	0.02745
0.2	0.1358	0.02942
0.3	0.1175	0.03164
0.4	0.1052	0.03249
0.5	0.09598	0.03269
0.6	0.08873	0.03254
0.8	0.07793	0.03176
1.0	0.07006	0.03074
1.25	0.06265	0.02938
1.5	0.05701	0.02807
2.0	0.04895	0.02583
3.0	0.03931	0.02259
4.0	0.03369	0.02045
5.0	0.03	0.01895
6.0	0.02741	0.01786
8.0	0.02401	0.01639
10.0	0.02193	0.01547
15.0	0.01915	0.01422
20.0	0.01787	0.01362
