Energy (MeV)	mu/rho (cm^2/g)	mu_en/rho (cm^2/g)
0.00750000000000000000	11.51000000000000000000	11.51000000000000000000 
0.00850000000000000000	7.83900000000000000000	7.83900000000000000000 
0.00950000000000000000	5.55900000000000000000	5.55900000000000000000 
0.01050000000000000000	4.07500000000000000000	4.07500000000000000000 
0.01150000000000000000	3.06900000000000000000	3.06900000000000000000 
0.01250000000000000000	2.36500000000000000000	2.36500000000000000000 
0.01350000000000000000	1.85800000000000000000	1.85800000000000000000 
0.01450000000000000000	1.48400000000000000000	1.48400000000000000000 
0.01550000000000000000	1.20300000000000000000	1.20300000000000000000 
0.01650000000000000000	9.879e-01	9.879e-01
0.01750000000000000000	8.206e-01	8.206e-01
0.01850000000000000000	6.888e-01	6.888e-01
0.01950000000000000000	5.836e-01	5.836e-01
0.02050000000000000000	4.986e-01	4.986e-01
0.02150000000000000000	4.294e-01	4.294e-01
0.02250000000000000000	3.724e-01	3.724e-01
0.02350000000000000000	3.251e-01	3.251e-01
0.02450000000000000000	2.855e-01	2.855e-01
0.02550000000000000000	2.522e-01	2.522e-01
0.02650000000000000000	2.240e-01	2.240e-01
0.02750000000000000000	2.000e-01	2.000e-01
0.02850000000000000000	1.794e-01	1.794e-01
0.02950000000000000000	1.616e-01	1.616e-01
0.03050000000000000000	1.463e-01	1.463e-01
0.03150000000000000000	1.330e-01	1.330e-01
0.03250000000000000000	1.213e-01	1.213e-01
0.03350000000000000000	1.111e-01	1.111e-01
0.03450000000000000000	1.022e-01	1.022e-01
0.03550000000000000000	9.425e-02	9.425e-02
0.03650000000000000000	8.725e-02	8.725e-02
0.03750000000000000000	8.104e-02	8.104e-02
0.03850000000000000000	7.552e-02	7.552e-02
0.03950000000000000000	7.059e-02	7.059e-02
0.04050000000000000000	6.619e-02	6.619e-02
0.04150000000000000000	6.224e-02	6.224e-02
0.04250000000000000000	5.869e-02	5.869e-02
0.04350000000000000000	5.549e-02	5.549e-02
0.04450000000000000000	5.261e-02	5.261e-02
0.04550000000000000000	5.001e-02	5.001e-02
0.04650000000000000000	4.765e-02	4.765e-02
0.04750000000000000000	4.551e-02	4.551e-02
0.04850000000000000000	4.357e-02	4.357e-02
0.04950000000000000000	4.180e-02	4.180e-02
0.05050000000000000000	4.020e-02	4.020e-02
0.05150000000000000000	3.873e-02	3.873e-02
0.05250000000000000000	3.740e-02	3.740e-02
0.05350000000000000000	3.618e-02	3.618e-02
0.05450000000000000000	3.507e-02	3.507e-02
0.05550000000000000000	3.404e-02	3.404e-02
0.05650000000000000000	3.311e-02	3.311e-02
0.05750000000000000000	3.225e-02	3.225e-02
0.05850000000000000000	3.147e-02	3.147e-02
0.05950000000000000000	3.075e-02	3.075e-02
0.06050000000000000000	3.009e-02	3.009e-02
0.06150000000000000000	2.948e-02	2.948e-02
0.06250000000000000000	2.892e-02	2.892e-02
0.06350000000000000000	2.841e-02	2.841e-02
0.06450000000000000000	2.794e-02	2.794e-02
0.06550000000000000000	2.750e-02	2.750e-02
0.06650000000000000000	2.711e-02	2.711e-02
0.06750000000000000000	2.674e-02	2.674e-02
0.06850000000000000000	2.641e-02	2.641e-02
0.06950000000000000000	2.610e-02	2.610e-02
0.07050000000000000000	2.581e-02	2.581e-02
0.07150000000000000000	2.555e-02	2.555e-02
0.07250000000000000000	2.532e-02	2.532e-02
0.07350000000000000000	2.510e-02	2.510e-02
0.07450000000000000000	2.490e-02	2.490e-02
0.07550000000000000000	2.471e-02	2.471e-02
0.07650000000000000000	2.455e-02	2.455e-02
0.07750000000000000000	2.439e-02	2.439e-02
0.07850000000000000000	2.426e-02	2.426e-02
0.07950000000000000000	2.413e-02	2.413e-02
0.08050000000000000000	2.401e-02	2.401e-02
0.08150000000000000000	2.391e-02	2.391e-02
0.08250000000000000000	2.382e-02	2.382e-02
0.08350000000000000000	2.373e-02	2.373e-02
0.08450000000000000000	2.366e-02	2.366e-02
0.08550000000000000000	2.359e-02	2.359e-02
0.08650000000000000000	2.353e-02	2.353e-02
0.08750000000000000000	2.348e-02	2.348e-02
0.08850000000000000000	2.343e-02	2.343e-02
